Lower Bound +,Indicator Label,Lower Bound,Indicator Subcategory,Indicator Type Key,Indicator Unit,Upper Bound,Indicator Value,Upper Bound ,Lower Bound ,Upper Bound -,Panel,Panel Label,Panel_Label_Upper,Panel_Max_Year,Panel_Min_Year,Practice Goal,Practice Key,Practice Name,US_Indicator,Value_First_Last,Year
47.02597431,Global GHG Emissions: Three Scenarios,47.02597431,1.5 Degree C Pathway,GCR_CE_C,Gt CO2e,47.02597431,47.02597431,47.02597431,,,Response,Emissions Gap,EMISSIONS GAP,2030,2010,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,2011
47.58360699,Global GHG Emissions: Three Scenarios,47.58360699,1.5 Degree C Pathway,GCR_CE_C,Gt CO2e,47.58360699,47.58360699,47.58360699,,,Response,Emissions Gap,EMISSIONS GAP,2030,2010,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,2012
48.25729704,Global GHG Emissions: Three Scenarios,48.25729704,1.5 Degree C Pathway,GCR_CE_C,Gt CO2e,48.25729704,48.25729704,48.25729704,,,Response,Emissions Gap,EMISSIONS GAP,2030,2010,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,2013
48.89237286,Global GHG Emissions: Three Scenarios,48.89237286,1.5 Degree C Pathway,GCR_CE_C,Gt CO2e,48.89237286,48.89237286,48.89237286,,,Response,Emissions Gap,EMISSIONS GAP,2030,2010,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,2014
50.6,Global GHG Emissions: Three Scenarios,50.6,1.5 Degree C Pathway,GCR_CE_C,Gt CO2e,53.8,53,53.8,,,Response,Emissions Gap,EMISSIONS GAP,2030,2010,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,2020
29.9,Global GHG Emissions: Three Scenarios,29.9,1.5 Degree C Pathway,GCR_CE_C,Gt CO2e,39.8,37.3,39.8,,,Response,Emissions Gap,EMISSIONS GAP,2030,2010,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,2025
22,Global GHG Emissions: Three Scenarios,22,1.5 Degree C Pathway,GCR_CE_C,Gt CO2e,30,24.2,30,,,Response,Emissions Gap,EMISSIONS GAP,2030,2010,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,24.2,2030
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Agricultural GHG Emissions,GCR_FD_A,Gt CO2e,,4.572738231,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,4.6,1990
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Agricultural GHG Emissions,GCR_FD_A,Gt CO2e,,4.551383388,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,1991
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Agricultural GHG Emissions,GCR_FD_A,Gt CO2e,,4.529690669,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,1992
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Agricultural GHG Emissions,GCR_FD_A,Gt CO2e,,4.497533696,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,1993
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Agricultural GHG Emissions,GCR_FD_A,Gt CO2e,,4.528781698,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,1994
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Agricultural GHG Emissions,GCR_FD_A,Gt CO2e,,4.57493764,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,1995
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Agricultural GHG Emissions,GCR_FD_A,Gt CO2e,,5.245823204,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,5.2,2014
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Agricultural GHG Emissions,GCR_FD_A,Gt CO2e,,5.013849701,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,2008
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Agricultural GHG Emissions,GCR_FD_A,Gt CO2e,,5.025267806,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,2009
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Agricultural GHG Emissions,GCR_FD_A,Gt CO2e,,5.077484952,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,2010
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Agricultural GHG Emissions,GCR_FD_A,Gt CO2e,,5.179739951,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,2011
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Agricultural GHG Emissions,GCR_FD_A,Gt CO2e,,5.213489122,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,2012
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Agricultural GHG Emissions,GCR_FD_A,Gt CO2e,,5.179418072,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,2013
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Agricultural GHG Emissions,GCR_FD_A,Gt CO2e,,4.674280751,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,2002
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Agricultural GHG Emissions,GCR_FD_A,Gt CO2e,,4.702335657,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,2003
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Agricultural GHG Emissions,GCR_FD_A,Gt CO2e,,4.80397118,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,2004
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Agricultural GHG Emissions,GCR_FD_A,Gt CO2e,,4.85346482,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,2005
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Agricultural GHG Emissions,GCR_FD_A,Gt CO2e,,4.906532919,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,2006
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Agricultural GHG Emissions,GCR_FD_A,Gt CO2e,,4.994813715,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,2007
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Agricultural GHG Emissions,GCR_FD_A,Gt CO2e,,4.589670521,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,1996
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Agricultural GHG Emissions,GCR_FD_A,Gt CO2e,,4.573245921,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,1997
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Agricultural GHG Emissions,GCR_FD_A,Gt CO2e,,4.607203187,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,1998
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Agricultural GHG Emissions,GCR_FD_A,Gt CO2e,,4.654864806,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,1999
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Agricultural GHG Emissions,GCR_FD_A,Gt CO2e,,4.641465939,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,2000
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Agricultural GHG Emissions,GCR_FD_A,Gt CO2e,,4.667997369,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,2001
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Efficiency,GCR_FD_B,M kcal per tonne CO2e,,1.115289520,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,1.1,1990
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Efficiency,GCR_FD_B,M kcal per tonne CO2e,,1.130289302,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,1991
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Efficiency,GCR_FD_B,M kcal per tonne CO2e,,1.157643675,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,1992
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Efficiency,GCR_FD_B,M kcal per tonne CO2e,,1.186369427,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,1993
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Efficiency,GCR_FD_B,M kcal per tonne CO2e,,1.206030841,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,1994
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Efficiency,GCR_FD_B,M kcal per tonne CO2e,,1.221962968,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,1995
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Efficiency,GCR_FD_B,M kcal per tonne CO2e,,1.396352763,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,2008
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Efficiency,GCR_FD_B,M kcal per tonne CO2e,,1.410409657,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,2009
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Efficiency,GCR_FD_B,M kcal per tonne CO2e,,1.425555277,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,2010
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Efficiency,GCR_FD_B,M kcal per tonne CO2e,,1.423880931,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,2011
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Efficiency,GCR_FD_B,M kcal per tonne CO2e,,1.434265750,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,2012
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Efficiency,GCR_FD_B,M kcal per tonne CO2e,,1.466049928,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,1.5,2013
,Agricultural GHG Emissions & Units of Food Produced per Tonne of Emissions,,Efficiency,GCR_FD_B,M kcal per tonne CO2e,,1.342490272,,,,Response,Emissions & Efficiency,EMISSIONS & EFFICIENCY,2014,1990,Sustainable food systems conserve biodiversity while ensuring food and nutrition security now and in the future.,522,Food,Yes,,2002
